,City,Latitude,Longitude,Name,PostalCode,State
0,Black Earth,43.138995,-89.747904,Shack The,53515,WI
1,Woodinville,47.734648,-122.149773,Redhook Ale Brewery Inc,98072,WA
2,Austin,30.225785,-97.952191,Thristy Planet,78736,Circleville
3,North Conway,44.06841641,-71.14390969,Moat Mountain Smoke House & Brewing Co.,3860,N Conway
4,Newport,41.51424931,-71.31590366,Coastal Extreme Brewing Company,2840,RI
5,San Antonio,22.13076115,-101.0190167,La Legendaria,78240,TX
6,Pleasanton,37.675973,-121.867101,Iron Oak Brewing Inc,94566,CA
7,Columbus,39.96629,-82.99688,Elevator Brewery Brewquarters,43215,OH
8,Hillsboro,45.392598,-123.034741,J Albin Winery Llc,97123,Scholls
9,Philadelphia,39.980191,-75.128411,Philly Home Brew Outlet,19125,PA
10,Laguna Hills,33.621741,-117.726456,Krash Brewery,92653,Laguna Woods
11,Albuquerque,35.11641138,-106.6104861,Kellys Brewery,87107,NM
12,Justiceburg,33.055149,-101.160785,Bottom of The Hill,79330,TX
13,Traverse City,44.764316,-85.62853,North Peak Brewing Company,49684,MI
14,Seabrook,29.567485,-95.040253,Boondoggles Corporation,77586,Taylor Lk Vlg
15,Ansley,41.288118,-99.380628,Brew Bums,68814,Myrtle
16,Beacon,41.50583,-73.98401,Farm To Glass Tours-beacon,12508,NY
17,Grafton,38.97012,-90.43911,Grafton Brewhaus,62037,Quarry
18,Ridgway,38.15232262,-107.7576327,Colorado Boy Pub & Brewery,81432,CO
19,Redlands,34.06160036,-117.2185874,Escape Craft Brewery,92373,Smiley Heights
20,Franklin,35.180972,-83.383978,Lazy Hiker Brewing Co,28734,Cartoogechaye
21,Bend,44.035483,-121.305512,Kobold Brewing,97703,OR
22,Riverview,27.8584261,-82.3273333,Wawa,33578,FL
23,Pittsburgh,40.462207,-79.964426,Lawrenceville Brewery,15201,Pitt
24,Royersford,40.225914,-75.5159,Craft Beer Bus Llc,19468,PA
25,Columbus,39.9629545,-82.9765815,Tavern The,43205,OH
26,Estero,26.428839,-81.809135,Corkscrew Winery & The Wine Shoppe Co.,33928,FL
27,Naples,26.195888,-81.812706,The Village Shops On Venetian Bay,34103,FL
28,Colorado Springs,38.832486,-104.819522,Triple S Brewing,80903,Co Spgs
29,San Antonio,29.462977,-98.698035,Anheuser-busch,78251,TX
30,Columbus,39.944195,-82.981844,Chatterbox Bar,43206,OH
31,Dayton,39.76160427,-84.18513217,Dayton Beer Company,45402,OH
32,Flint,42.94757319,-83.72289444,Redwood Steakhouse Brewery and Grill,48507,MI
33,Olympia,47.040651,-122.930972,Total Wine & More,98502,WA
34,Prescott,34.5428563,-112.468753,The Office Restaraunt & Bar,86301,AZ
35,Mifflinburg,40.91818,-77.046179,Bald Eagle Brewery Co,17844,Dice
36,Thurmont,39.641019,-77.401828,Gateway Liquors,21788,MD
37,Moscow,46.73909,-117.0041,The Moscow Brewing Company,83843,ID
38,Phelps,42.9580886,-77.060795,Flint Creek Brewery Company,14532,NY
39,Albuquerque,35.16277,-106.59986,Hallenbrick Brewery,87109,NM
