City,Latitude,Longitude,Name,PostalCode,State
Black Earth,43.138995,-89.747904,Shack The,53515,WI
Woodinville,47.734648,-122.149773,Redhook Ale Brewery Inc,98072,WA
Austin,30.225785,-97.952191,Thristy Planet,78736,Circleville
North Conway,44.06841641,-71.14390969,Moat Mountain Smoke House & Brewing Co.,3860,N Conway
Newport,41.51424931,-71.31590366,Coastal Extreme Brewing Company,2840,RI
San Antonio,22.13076115,-101.0190167,La Legendaria,78240,TX
Pleasanton,37.675973,-121.867101,Iron Oak Brewing Inc,94566,CA
Columbus,39.96629,-82.99688,Elevator Brewery Brewquarters,43215,OH
Hillsboro,45.392598,-123.034741,J Albin Winery Llc,97123,Scholls
Philadelphia,39.980191,-75.128411,Philly Home Brew Outlet,19125,PA
Laguna Hills,33.621741,-117.726456,Krash Brewery,92653,Laguna Woods
Albuquerque,35.11641138,-106.6104861,Kellys Brewery,87107,NM
Justiceburg,33.055149,-101.160785,Bottom of The Hill,79330,TX
Traverse City,44.764316,-85.62853,North Peak Brewing Company,49684,MI
Seabrook,29.567485,-95.040253,Boondoggles Corporation,77586,Taylor Lk Vlg
Ansley,41.288118,-99.380628,Brew Bums,68814,Myrtle
Beacon,41.50583,-73.98401,Farm To Glass Tours-beacon,12508,NY
Grafton,38.97012,-90.43911,Grafton Brewhaus,62037,Quarry
Ridgway,38.15232262,-107.7576327,Colorado Boy Pub & Brewery,81432,CO
Redlands,34.06160036,-117.2185874,Escape Craft Brewery,92373,Smiley Heights
Franklin,35.180972,-83.383978,Lazy Hiker Brewing Co,28734,Cartoogechaye
Bend,44.035483,-121.305512,Kobold Brewing,97703,OR
Riverview,27.8584261,-82.3273333,Wawa,33578,FL
Pittsburgh,40.462207,-79.964426,Lawrenceville Brewery,15201,Pitt
Royersford,40.225914,-75.5159,Craft Beer Bus Llc,19468,PA
Columbus,39.9629545,-82.9765815,Tavern The,43205,OH
Estero,26.428839,-81.809135,Corkscrew Winery & The Wine Shoppe Co.,33928,FL
Naples,26.195888,-81.812706,The Village Shops On Venetian Bay,34103,FL
Colorado Springs,38.832486,-104.819522,Triple S Brewing,80903,Co Spgs
San Antonio,29.462977,-98.698035,Anheuser-busch,78251,TX
Columbus,39.944195,-82.981844,Chatterbox Bar,43206,OH
Dayton,39.76160427,-84.18513217,Dayton Beer Company,45402,OH
Flint,42.94757319,-83.72289444,Redwood Steakhouse Brewery and Grill,48507,MI
Olympia,47.040651,-122.930972,Total Wine & More,98502,WA
Prescott,34.5428563,-112.468753,The Office Restaraunt & Bar,86301,AZ
Mifflinburg,40.91818,-77.046179,Bald Eagle Brewery Co,17844,Dice
Thurmont,39.641019,-77.401828,Gateway Liquors,21788,MD
Moscow,46.73909,-117.0041,The Moscow Brewing Company,83843,ID
Phelps,42.9580886,-77.060795,Flint Creek Brewery Company,14532,NY
Albuquerque,35.16277,-106.59986,Hallenbrick Brewery,87109,NM
Milwaukee,43.051053,-87.924469,Jacob Leinenkugel Brewing Co,53205,WI
Seattle,47.651638,-122.350149,Dad Watsons,98103,Wallingford
Golden,39.760012,-105.21848,Ac Golden Brewing Co,80401,CO
Fordland,37.226814,-92.942252,B K S Bears Brew Llc,65652,MO
Elkton,39.612693,-75.836805,Irish Town Brewing Company,21921,MD
Montrose,38.478807,-107.879991,Two Rascals Brewing,81401,CO
Milton,44.62742,-73.142545,Milton Beverage Warehouse,5468,West Milton
Fort Myers,26.58058661,-81.87425384,Old Soul Brewing,33907,FL
Fresno,36.563229,-119.739137,Vie-del Co,93725,Malaga
Irvine,33.68434,-117.850674,Capistrano Brewing Co,92614,CA
Hillsborough,45.52827,-122.91331,Mystery Brewery Public House,27278,West Hillsborough
Burlington,44.459621,-73.213803,Zero Gravity Brewery,5401,Burl
Guilford,39.238287,-84.988848,Chateau Pomije Winery,47022,New Alsace
Rittman,20.68917858,-103.3480714,Vancouver Wings,44270,OH
Chattanooga,35.04397904,-85.30304624,Hutton & Smith Brewing Co.,37403,TN
Kailua Kona,19.610555,-155.979036,Paradise Brewing Co. Tap & Grill,96740,HI
Tampa,28.040283,-82.524723,Zachary's,33624,FL
Berlin,39.800432,-74.930774,Keg and Barrel Home Brew Supplies Llc,8009,Berlin Boro
Santa Monica,34.0303093,-118.4764659,The Black Pearl Hq,90404,CA
Stuart,27.235792,-80.270372,Total Wine & More,34994,FL
New York,40.806522,-73.965319,Heartland Brewery,10025,Nyc
Woodland Hills,34.184339,-118.605654,Total Wine & More,91367,CA
Centralia,46.73518297,-123.0016369,Dick's Brewing Company,98531,Grand Mound
Woodland,38.678097,-121.77122,Blue Note Brewing Company,95695,CA
Chula Vista,32.600826,-117.08285,Bay Bridge Brewing,91911,CA
Carroll,49.384586,8.572336,Schwetzinger Brauhaus Zum Ritter,68723,NE
Columbus,41.4013867,2.132710218,Al solete,8022,NJ
Hayneville,45.51917,11.61771,La Taverna del luppolo,36040,AL
Gillette,44.292183,-105.50401,Gillette Brewing Company,82716,WY
Los Angeles,33.927607,-118.372998,Kirin Brewery of America Llc,90045,Playa Vista
Boise,43.60433,-116.1912,The Stone House,83712,ID
