,PostalCode,Median_Income,Population,Median_age,Keydemo_per
0,35004,62902.0,12045,35.5,0.2213366542133665
1,35005,50473.0,7344,44.0,0.136437908496732
2,35006,55909.0,2883,47.2,0.1175858480749219
3,35007,73587.0,26332,37.7,0.1707048458149779
4,35010,41954.0,20613,42.6,0.1766361034298743
5,35013,,46,47.9,0.0
6,35014,47691.0,4963,43.9,0.153939149707838
7,35016,46157.0,17208,41.0,0.1786378428637842
8,35019,38080.0,2492,39.9,0.1942215088282504
9,35020,29133.0,25757,38.8,0.1951314205846954
10,35022,61516.0,21587,41.4,0.2263862509843887
11,35023,54614.0,23523,40.2,0.1955107766866471
12,35031,47674.0,7779,41.7,0.2028538372541457
13,35032,29750.0,44,53.5,0.0454545454545454
14,35033,50682.0,2946,42.3,0.093346911065852
15,35034,39087.0,6416,34.8,0.2839775561097257
16,35035,42167.0,821,51.9,0.1242387332521315
17,35036,16591.0,204,26.8,0.1862745098039215
18,35040,62508.0,17311,33.7,0.20530298654035
19,35042,52550.0,6078,47.6,0.1398486344192168
20,35043,100864.0,12153,37.5,0.1487698510655805
21,35044,38152.0,7409,39.8,0.1827507085976515
22,35045,45853.0,15143,39.2,0.1909793303836756
23,35046,52031.0,5017,40.2,0.2029101056408212
24,35049,47212.0,3856,37.8,0.1976141078838174
25,35051,51782.0,9838,40.2,0.1803212034966456
26,35052,,283,59.0,0.1802120141342756
27,35053,54537.0,2398,49.5,0.1317764804003336
28,35054,46441.0,4318,54.3,0.1808707735062528
29,35055,46953.0,21153,38.6,0.1923604216895948
30,35057,49786.0,14187,38.4,0.198491576795658
31,35058,43188.0,8630,43.7,0.2053302433371958
32,35060,23889.0,272,42.4,0.0
33,35061,44375.0,1130,40.6,0.2486725663716814
34,35062,52741.0,7904,42.5,0.1595394736842105
35,35063,56538.0,3629,42.0,0.1884816753926701
36,35064,40570.0,11048,38.0,0.2015749456915278
37,35068,62823.0,7967,38.6,0.1996987573741684
38,35070,37708.0,296,33.6,0.1959459459459459
39,35071,70963.0,16052,41.0,0.1633441315723897
40,35072,37622.0,4410,46.1,0.1612244897959183
41,35073,39826.0,2074,48.8,0.1837029893924783
42,35074,,99,,1.0
43,35077,39490.0,13821,42.8,0.1755299905940235
44,35078,62557.0,1927,47.9,0.1411520498183705
45,35079,61837.0,9055,40.6,0.1731639977912755
46,35080,88952.0,18471,36.7,0.163499539819176
47,35083,35750.0,3191,45.6,0.1059229081792541
48,35085,43542.0,8901,37.7,0.1990787551960454
49,35087,31789.0,2571,40.1,0.2115908206923376
50,35089,32402.0,1954,47.8,0.074718526100307
51,35091,82500.0,3118,38.3,0.1468890314304041
52,35094,60422.0,15059,37.8,0.1873298359784846
53,35096,55766.0,8221,42.3,0.2043547013745286
54,35097,45950.0,1884,43.3,0.113588110403397
55,35098,31429.0,1091,34.2,0.2731439046746104
56,35111,71662.0,16325,38.7,0.1804594180704441
57,35112,,281,48.8,0.096085409252669
58,35114,85183.0,8310,37.7,0.1714801444043321
59,35115,42034.0,14988,34.3,0.2498665599145983
60,35116,66414.0,4332,43.2,0.1613573407202216
61,35117,71956.0,5478,43.2,0.1400146038700255
62,35118,62368.0,3467,38.9,0.1941159503893856
63,35119,,282,40.5,0.1418439716312056
64,35120,67703.0,14424,35.8,0.1954381586245147
65,35121,44308.0,16123,40.9,0.1712460460212119
66,35124,79847.0,24387,41.0,0.1677533111903883
67,35125,46094.0,9931,45.1,0.1754103312858725
68,35126,67823.0,20749,41.5,0.2016000771121499
69,35127,70526.0,9651,45.6,0.1356336130970883
70,35128,61354.0,10573,40.2,0.2012673791733661
71,35130,37977.0,2925,47.0,0.1254700854700854
72,35131,40033.0,4696,38.6,0.1897359454855195
73,35133,50121.0,3222,43.5,0.1765983860955928
74,35135,56422.0,2514,34.8,0.1941129673826571
75,35136,41339.0,2197,45.4,0.1306326809285389
76,35139,15469.0,161,58.4,0.1118012422360248
77,35143,68355.0,2880,48.6,0.0982638888888888
78,35146,80351.0,11175,45.2,0.1420134228187919
79,35147,74593.0,6022,36.1,0.22152108933909
80,35148,41424.0,2183,39.8,0.2001832340815391
81,35149,41144.0,251,27.9,0.5139442231075697
82,35150,31819.0,16991,40.1,0.1912777352716143
83,35151,48820.0,7649,49.1,0.1304745718394561
84,35160,34210.0,25999,41.7,0.2038539943843994
85,35171,56410.0,3254,42.7,0.1518131530424093
86,35172,34052.0,3000,46.7,0.1946666666666666
87,35173,89923.0,27514,38.8,0.149523878752635
88,35175,52938.0,5289,46.3,0.1251654377008886
89,35176,,784,42.5,0.1951530612244898
90,35178,34088.0,3202,41.8,0.1467832604622111
91,35179,47437.0,8616,43.8,0.1391597028783658
92,35180,58750.0,14967,40.3,0.1356317231242066
93,35183,56579.0,918,42.4,0.2015250544662309
94,35184,38313.0,4666,43.0,0.1639519931418774
95,35186,64796.0,5085,46.8,0.1447394296951819
96,35187,,6,,0.0
97,35188,57750.0,3014,40.0,0.1612475116124751
98,35203,17248.0,3125,40.9,0.30624
99,35204,23027.0,9262,45.9,0.185705031310732
100,35205,39236.0,20857,29.5,0.4399482188234166
101,35206,33852.0,17713,38.9,0.2017727093095466
102,35207,24533.0,8696,39.1,0.1808877644894204
103,35208,36014.0,13719,39.0,0.1849989066258473
104,35209,59931.0,28252,30.9,0.2911652272405493
105,35210,55394.0,14022,40.9,0.2053202110968478
106,35211,32051.0,24745,37.8,0.2518488583552233
107,35212,30240.0,11295,35.1,0.2258521469676848
108,35213,122379.0,14062,34.8,0.2270658512302659
109,35214,51871.0,17789,45.2,0.1541964135139693
110,35215,42519.0,48680,32.5,0.20827855382087104
111,35216,63348.0,36856,34.0,0.2279411764705882
112,35217,35551.0,13256,38.2,0.2227670488835244
113,35218,27012.0,7235,34.2,0.2320663441603317
114,35221,36313.0,4484,40.2,0.17573595004460302
115,35222,62246.0,8989,38.9,0.2260540660807654
116,35223,141604.0,11111,44.0,0.1490414904149041
117,35224,37983.0,5328,39.3,0.1818693693693693
118,35226,106905.0,35331,37.4,0.1829837819478645
119,35228,33486.0,10059,39.2,0.2123471518043543
120,35229,,1255,19.7,0.4342629482071713
121,35233,41994.0,1730,27.4,0.6271676300578035
122,35234,24205.0,5063,49.3,0.162354335374284
123,35235,56301.0,21340,36.8,0.211808809746954
124,35242,98780.0,56340,40.8,0.1892616258430955
125,35243,89007.0,17059,38.1,0.2466733102761006
126,35244,91323.0,31941,39.9,0.1808647193262577
127,35254,,1598,20.2,0.4392991239048811
128,35401,26216.0,37705,22.7,0.2983423949078371
129,35404,40651.0,22345,29.3,0.3625419556947863
130,35405,56711.0,45391,33.5,0.2760018505871208
131,35406,104172.0,17914,39.8,0.1733839455174723
132,35441,41071.0,972,41.1,0.1100823045267489
133,35442,31921.0,6730,35.9,0.2459138187221396
134,35443,15000.0,1777,30.0,0.2160945413618458
135,35444,50644.0,3972,38.8,0.1805135951661631
136,35446,42314.0,2147,40.7,0.2072659524918491
