PostalCode,Median_Income,Population,Median_age,Keydemo_per
35004,62902,12045,35.5,0.22133665421336654
35005,50473,7344,44,0.136437908496732
35006,55909,2883,47.2,0.11758584807492195
35007,73587,26332,37.7,0.17070484581497797
35010,41954,20613,42.6,0.17663610342987435
35013,-,46,47.9,0.0
35014,47691,4963,43.9,0.153939149707838
35016,46157,17208,41,0.17863784286378429
35019,38080,2492,39.9,0.1942215088282504
35020,29133,25757,38.8,0.19513142058469543
35022,61516,21587,41.4,0.22638625098438875
35023,54614,23523,40.2,0.1955107766866471
35031,47674,7779,41.7,0.20285383725414577
35032,29750,44,53.5,0.045454545454545456
35033,50682,2946,42.3,0.09334691106585201
35034,39087,6416,34.8,0.2839775561097257
35035,42167,821,51.9,0.12423873325213154
35036,16591,204,26.8,0.18627450980392157
35040,62508,17311,33.7,0.20530298654035006
35042,52550,6078,47.6,0.13984863441921686
35043,100864,12153,37.5,0.14876985106558052
35044,38152,7409,39.8,0.1827507085976515
35045,45853,15143,39.2,0.19097933038367562
35046,52031,5017,40.2,0.2029101056408212
35049,47212,3856,37.8,0.19761410788381742
35051,51782,9838,40.2,0.18032120349664565
35052,-,283,59,0.18021201413427562
35053,54537,2398,49.5,0.1317764804003336
35054,46441,4318,54.3,0.18087077350625289
35055,46953,21153,38.6,0.19236042168959486
35057,49786,14187,38.4,0.198491576795658
35058,43188,8630,43.7,0.20533024333719582
35060,23889,272,42.4,0.0
35061,44375,1130,40.6,0.24867256637168142
35062,52741,7904,42.5,0.15953947368421054
35063,56538,3629,42,0.18848167539267016
35064,40570,11048,38,0.20157494569152787
35068,62823,7967,38.6,0.19969875737416845
35070,37708,296,33.6,0.19594594594594594
35071,70963,16052,41,0.16334413157238972
35072,37622,4410,46.1,0.16122448979591836
35073,39826,2074,48.8,0.1837029893924783
35074,-,99,-,1.0
35077,39490,13821,42.8,0.17552999059402358
35078,62557,1927,47.9,0.1411520498183705
35079,61837,9055,40.6,0.17316399779127553
35080,88952,18471,36.7,0.163499539819176
35083,35750,3191,45.6,0.10592290817925415
35085,43542,8901,37.7,0.1990787551960454
35087,31789,2571,40.1,0.21159082069233762
35089,32402,1954,47.8,0.07471852610030706
35091,82500,3118,38.3,0.1468890314304041
35094,60422,15059,37.8,0.18732983597848463
35096,55766,8221,42.3,0.20435470137452866
35097,45950,1884,43.3,0.11358811040339703
35098,31429,1091,34.2,0.27314390467461047
35111,71662,16325,38.7,0.1804594180704441
35112,-,281,48.8,0.09608540925266904
35114,85183,8310,37.7,0.17148014440433212
35115,42034,14988,34.3,0.24986655991459836
35116,66414,4332,43.2,0.16135734072022162
35117,71956,5478,43.2,0.14001460387002557
35118,62368,3467,38.9,0.19411595038938564
35119,-,282,40.5,0.14184397163120568
35120,67703,14424,35.8,0.1954381586245147
35121,44308,16123,40.9,0.17124604602121193
35124,79847,24387,41,0.16775331119038833
35125,46094,9931,45.1,0.17541033128587252
35126,67823,20749,41.5,0.20160007711214997
35127,70526,9651,45.6,0.13563361309708838
35128,61354,10573,40.2,0.20126737917336612
35130,37977,2925,47,0.12547008547008548
35131,40033,4696,38.6,0.18973594548551959
35133,50121,3222,43.5,0.1765983860955928
35135,56422,2514,34.8,0.19411296738265713
35136,41339,2197,45.4,0.1306326809285389
35139,15469,161,58.4,0.11180124223602485
35143,68355,2880,48.6,0.09826388888888889
35146,80351,11175,45.2,0.14201342281879195
35147,74593,6022,36.1,0.22152108933909
35148,41424,2183,39.8,0.20018323408153918
35149,41144,251,27.9,0.5139442231075697
35150,31819,16991,40.1,0.19127773527161437
35151,48820,7649,49.1,0.13047457183945613
35160,34210,25999,41.7,0.2038539943843994
35171,56410,3254,42.7,0.15181315304240933
35172,34052,3000,46.7,0.19466666666666665
35173,89923,27514,38.8,0.149523878752635
35175,52938,5289,46.3,0.12516543770088864
35176,-,784,42.5,0.1951530612244898
35178,34088,3202,41.8,0.14678326046221113
35179,47437,8616,43.8,0.13915970287836582
35180,58750,14967,40.3,0.1356317231242066
35183,56579,918,42.4,0.20152505446623092
35184,38313,4666,43,0.16395199314187742
35186,64796,5085,46.8,0.14473942969518191
35187,-,6,-,0.0
35188,57750,3014,40,0.1612475116124751
35203,17248,3125,40.9,0.30624
35204,23027,9262,45.9,0.18570503131073202
35205,39236,20857,29.5,0.4399482188234166
35206,33852,17713,38.9,0.20177270930954666
35207,24533,8696,39.1,0.18088776448942043
35208,36014,13719,39,0.18499890662584736
35209,59931,28252,30.9,0.29116522724054933
35210,55394,14022,40.9,0.2053202110968478
35211,32051,24745,37.8,0.2518488583552233
35212,30240,11295,35.1,0.22585214696768482
35213,122379,14062,34.8,0.22706585123026596
35214,51871,17789,45.2,0.15419641351396932
35215,42519,48680,32.5,0.208278553820871
35216,63348,36856,34,0.22794117647058823
35217,35551,13256,38.2,0.22276704888352444
35218,27012,7235,34.2,0.23206634416033173
35221,36313,4484,40.2,0.17573595004460305
35222,62246,8989,38.9,0.2260540660807654
35223,141604,11111,44,0.14904149041490414
35224,37983,5328,39.3,0.18186936936936937
35226,106905,35331,37.4,0.1829837819478645
35228,33486,10059,39.2,0.21234715180435432
35229,-,1255,19.7,0.4342629482071713
35233,41994,1730,27.4,0.6271676300578035
35234,24205,5063,49.3,0.162354335374284
35235,56301,21340,36.8,0.21180880974695407
35242,98780,56340,40.8,0.1892616258430955
35243,89007,17059,38.1,0.2466733102761006
35244,91323,31941,39.9,0.18086471932625778
35254,-,1598,20.2,0.43929912390488113
35401,26216,37705,22.7,0.29834239490783715
35404,40651,22345,29.3,0.3625419556947863
35405,56711,45391,33.5,0.2760018505871208
35406,104172,17914,39.8,0.17338394551747235
35441,41071,972,41.1,0.11008230452674897
35442,31921,6730,35.9,0.24591381872213966
35443,15000,1777,30,0.2160945413618458
35444,50644,3972,38.8,0.18051359516616314
35446,42314,2147,40.7,0.2072659524918491
35447,40088,3032,42.8,0.17150395778364116
35452,52762,3416,45,0.21194379391100704
35453,58750,10721,40.2,0.16341759164257066
35456,50634,4051,38.8,0.15921994569242162
35458,43875,445,30.9,0.5213483146067416
35459,32750,1156,39.8,0.2301038062283737
35460,22396,956,41.3,0.22280334728033474
35461,50361,2093,44.7,0.20258002866698518
35462,23323,4447,46.9,0.18821677535417136
35463,55602,2074,38.1,0.20250723240115717
35464,11731,854,25.2,0.15456674473067916
35466,44402,5441,44.2,0.12589597500459473
35469,36012,311,55.3,0.0
35470,22884,4836,24.7,0.3194789081885856
35473,64949,16294,34.5,0.24598011537989445
35474,55342,6617,37.7,0.21731902674928216
35475,79222,15952,38.9,0.20599297893681043
35476,36821,7208,35.9,0.21198668146503885
35477,-,137,43.8,0.36496350364963503
35480,83438,1007,42,0.22939424031777558
35481,31458,3174,48.9,0.19817265280403276
35490,56150,3911,33.2,0.24443876246484275
35501,37014,10208,36.3,0.18945924764890282
35503,53344,8798,44.2,0.187428961127529
35504,58403,12832,41.9,0.1711346633416459
35540,42648,2786,38,0.23510409188801148
35541,51646,3399,53.3,0.12121212121212122
35542,39583,920,54.1,0.15434782608695652
35543,27917,1033,40.1,0.12100677637947725
35544,55500,513,49.4,0.17543859649122806
35545,28750,99,64.5,0.30303030303030304
35546,56106,3996,36.9,0.16941941941941943
35548,37069,1600,47.6,0.116875
35549,37308,3712,43.6,0.16945043103448276
