,PostalCode,Population,Median_Income,PerUnder60
1,35004,13860,302269,0.92
2,35005,8280,130555,0.92
3,35006,3340,65411,0.89
4,35007,33710,743431,0.92
5,35010,21520,410413,0.91
6,35014,4110,79981,0.91
7,35016,19030,385033,0.9
8,35019,2550,44467,0.92
9,35020,25420,254213,0.93
10,35022,25270,597418,0.9
11,35023,26460,500960,0.9
12,35031,8600,132958,0.93
13,35033,3740,78406,0.9
14,35034,3810,53827,0.93
15,35035,1550,50773,0.93
16,35040,21930,451614,0.94
17,35042,6380,109244,0.91
18,35043,16910,496527,0.93
19,35044,8230,139751,0.92
20,35045,15940,279193,0.92
21,35046,6210,144501,0.9
22,35049,4510,84597,0.92
23,35051,9110,226050,0.9
24,35053,2710,80598,0.85
25,35054,4490,132480,0.86
26,35055,21500,452074,0.91
27,35057,14980,312812,0.92
28,35058,11590,235723,0.91
29,35061,1550,22649,0.89
30,35062,9300,190921,0.91
31,35063,3550,55770,0.92
32,35064,10360,144789,0.89
33,35068,9430,198913,0.91
34,35071,19540,502675,0.89
35,35072,4950,71828,0.91
36,35073,2290,36515,0.88
37,35077,14080,237000,0.91
38,35078,2470,56495,0.9
39,35079,10370,198085,0.93
40,35080,24460,625720,0.93
41,35083,3400,57315,0.91
42,35085,9710,162834,0.93
43,35087,2300,35784,0.92
44,35089,1990,26192,0.91
45,35091,4230,95978,0.94
46,35094,16420,385992,0.9
47,35096,9480,187502,0.92
48,35097,1990,37403,0.9
49,35098,1590,25480,0.91
50,35111,19500,481018,0.9
51,35114,9320,216757,0.93
52,35115,14230,254473,0.92
53,35116,5610,136083,0.89
54,35117,7200,180055,0.89
55,35118,3540,65205,0.88
56,35120,18240,364187,0.93
57,35121,16910,322724,0.91
58,35124,29860,1004652,0.89
59,35125,12260,205579,0.92
60,35126,24330,510996,0.9
61,35127,10770,227002,0.9
62,35128,11340,285361,0.89
63,35130,3250,57256,0.9
64,35131,4310,68566,0.93
65,35133,4440,85740,0.9
66,35135,2070,47029,0.89
67,35136,1590,33733,0.84
68,35143,2950,72578,0.86
69,35146,13390,322554,0.9
70,35147,6730,178979,0.93
71,35148,2900,48376,0.9
72,35150,18560,310258,0.92
73,35151,7620,153808,0.9
74,35160,25510,410515,0.91
75,35171,3770,74603,0.92
76,35172,3310,50985,0.91
77,35173,38140,1206986,0.91
78,35175,5490,124230,0.88
79,35176,850,15120,0.91
80,35178,3840,74912,0.91
81,35179,10600,209089,0.91
82,35180,16070,346335,0.91
83,35183,730,13979,0.88
84,35184,5930,99151,0.93
85,35186,5670,151824,0.89
86,35188,3310,64947,0.93
87,35203,2780,190356,0.92
88,35204,8970,92991,0.92
89,35205,13000,493898,0.9
90,35206,16870,206374,0.93
91,35207,8860,83836,0.94
92,35208,14640,160164,0.91
93,35209,30740,1401725,0.93
94,35210,14640,443870,0.87
95,35211,25240,321884,0.92
96,35212,11840,173159,0.94
97,35213,17390,1779399,0.89
98,35214,20280,312923,0.89
99,35215,55420,680951,0.94
100,35216,42540,1536708,0.91
101,35217,13930,175230,0.93
102,35218,6710,63675,0.93
103,35221,4440,48994,0.9
104,35222,8160,415884,0.9
105,35223,15080,2070274,0.87
106,35224,5760,66815,0.93
107,35226,46830,1787410,0.9
108,35228,11140,125234,0.92
109,35233,1290,78684,0.95
110,35234,4640,47103,0.93
111,35235,22940,402570,0.91
112,35242,68010,3749843,0.89
113,35243,24010,1515130,0.88
114,35244,44140,1718822,0.9
115,35401,23040,356339,0.92
116,35404,19400,338594,0.92
117,35405,47470,928260,0.92
118,35406,19300,1011606,0.89
119,35441,1210,20224,0.9
120,35442,5210,66328,0.93
121,35443,2130,21904,0.94
122,35444,4590,82241,0.94
123,35446,2450,41646,0.92
124,35447,3400,51644,0.91
125,35452,4600,89717,0.91
126,35453,12760,239852,0.92
127,35456,5000,85257,0.92
128,35458,650,11555,0.91
129,35459,820,12316,0.89
130,35460,630,6317,0.94
131,35461,1710,32427,0.88
132,35462,5190,63059,0.91
133,35463,2090,41720,0.91
134,35464,550,4685,0.91
135,35466,6470,119702,0.92
136,35469,320,5037,0.88
137,35470,4710,81738,0.9
138,35473,18300,447488,0.9
139,35474,8230,148299,0.93
140,35475,20310,583872,0.91
141,35476,9200,150479,0.92
142,35480,1970,39584,0.92
143,35481,3450,53448,0.9
144,35490,5350,107652,0.95
145,35501,9970,163353,0.92
146,35503,8960,171923,0.91
147,35504,14250,342415,0.9
148,35540,2480,43573,0.92
149,35541,3500,85811,0.88
150,35542,1260,19880,0.92
151,35543,1070,15209,0.93
152,35544,610,9821,0.9
153,35546,4380,73232,0.92
154,35548,1510,21280,0.9
155,35549,3550,56305,0.9
156,35550,5150,88217,0.92
157,35552,980,27569,0.9
158,35553,4500,83468,0.9
159,35554,1190,20929,0.9
160,35555,10110,166249,0.9
161,35563,4250,72857,0.9
162,35564,2240,33424,0.92
163,35565,12900,213916,0.92
164,35570,10600,174684,0.91
165,35571,890,14482,0.92
166,35572,980,23590,0.85
167,35574,1460,27230,0.88
168,35575,1050,16286,0.92
169,35576,3260,58018,0.89
170,35578,5320,82002,0.92
171,35579,3120,53659,0.91
172,35580,3980,69727,0.91
173,35581,5300,78605,0.92
174,35582,4260,88251,0.91
175,35585,1690,27400,0.91
176,35586,4370,69321,0.91
177,35587,810,16054,0.89
178,35592,4750,77418,0.91
179,35593,1810,30084,0.9
180,35594,7890,150392,0.91
181,35601,36570,659712,0.91
182,35603,36630,977588,0.89
183,35610,1910,36822,0.9
184,35611,26650,514537,0.9
185,35613,26740,815009,0.9
186,35614,8330,144951,0.91
187,35616,3690,67057,0.88
188,35618,1910,29159,0.91
189,35619,5660,110141,0.92
190,35620,10360,200083,0.92
191,35621,3290,60715,0.91
192,35622,7620,126578,0.92
193,35630,28410,574613,0.88
194,35633,22350,477118,0.89
195,35634,11820,359335,0.87
196,35640,29690,656758,0.91
197,35643,3210,55880,0.9
198,35645,15300,391900,0.89
199,35646,4700,84806,0.9
200,35647,1280,23179,0.91
201,35648,4080,80219,0.9
202,35650,14730,274852,0.91
203,35651,1140,19763,0.91
204,35652,8860,204063,0.88
205,35653,13740,200184,0.93
206,35654,8780,130806,0.93
207,35660,9200,152278,0.9
208,35661,20460,504595,0.89
209,35670,8390,175126,0.9
210,35671,2840,50040,0.92
211,35672,6400,122267,0.91
212,35673,9910,182574,0.92
213,35674,20810,432706,0.9
214,35677,1870,30781,0.9
215,35739,5930,116838,0.92
216,35740,3330,58690,0.89
217,35741,3840,169311,0.85
218,35744,2520,40313,0.91
219,35746,960,14961,0.92
220,35747,6680,148263,0.9
221,35748,9120,299654,0.9
222,35749,32400,857591,0.92
223,35750,16080,325147,0.91
224,35752,2000,39590,0.88
