ZIPCODE,POPULATION,MEDIAN_INCOME,PER_UNDER_60
0,5420890,125478058,0.907339939
35004,13860,302269,0.915584416
35005,8280,130555,0.916666667
35006,3340,65411,0.892215569
35007,33710,743431,0.921091664
35010,21520,410413,0.907992565
35014,4110,79981,0.907542579
35016,19030,385033,0.896479243
35019,2550,44467,0.917647059
35020,25420,254213,0.932730134
35022,25270,597418,0.897111199
35023,26460,500960,0.900226757
35031,8600,132958,0.925581395
35033,3740,78406,0.901069519
35034,3810,53827,0.929133858
35035,1550,50773,0.929032258
35040,21930,451614,0.943456452
35042,6380,109244,0.909090909
35043,16910,496527,0.927853341
35044,8230,139751,0.916160389
35045,15940,279193,0.920953576
35046,6210,144501,0.898550725
35049,4510,84597,0.920177384
35051,9110,226050,0.901207464
35053,2710,80598,0.84501845
35054,4490,132480,0.855233853
35055,21500,452074,0.90744186
35057,14980,312812,0.91588785
35058,11590,235723,0.910267472
35061,1550,22649,0.890322581
35062,9300,190921,0.912903226
35063,3550,55770,0.921126761
35064,10360,144789,0.888030888
35068,9430,198913,0.913043478
35071,19540,502675,0.887922211
35072,4950,71828,0.913131313
35073,2290,36515,0.88209607
35077,14080,237000,0.909801136
35078,2470,56495,0.898785425
35079,10370,198085,0.926711668
35080,24460,625720,0.932951758
35083,3400,57315,0.911764706
35085,9710,162834,0.927909372
35087,2300,35784,0.92173913
35089,1990,26192,0.914572864
35091,4230,95978,0.938534279
35094,16420,385992,0.897076736
35096,9480,187502,0.920886076
35097,1990,37403,0.899497487
35098,1590,25480,0.911949686
35111,19500,481018,0.903076923
35114,9320,216757,0.931330472
35115,14230,254473,0.919184821
35116,5610,136083,0.893048128
35117,7200,180055,0.891666667
35118,3540,65205,0.881355932
35120,18240,364187,0.930372807
35121,16910,322724,0.910703726
35124,29860,1004652,0.892498326
35125,12260,205579,0.924143556
35126,24330,510996,0.903411426
35127,10770,227002,0.896007428
35128,11340,285361,0.891534392
35130,3250,57256,0.904615385
35131,4310,68566,0.930394432
35133,4440,85740,0.900900901
35135,2070,47029,0.893719807
35136,1590,33733,0.842767296
35143,2950,72578,0.861016949
35146,13390,322554,0.902165795
35147,6730,178979,0.925705795
35148,2900,48376,0.9
35150,18560,310258,0.915409483
35151,7620,153808,0.897637795
35160,25510,410515,0.908271266
35171,3770,74603,0.923076923
35172,3310,50985,0.912386707
35173,38140,1206986,0.905086523
35175,5490,124230,0.883424408
35176,850,15120,0.905882353
35178,3840,74912,0.908854167
35179,10600,209089,0.912264151
35180,16070,346335,0.909769757
35183,730,13979,0.876712329
35184,5930,99151,0.929173693
35186,5670,151824,0.890652557
35188,3310,64947,0.930513595
35203,2780,190356,0.917266187
35204,8970,92991,0.918617614
35205,13000,493898,0.903846154
35206,16870,206374,0.927682276
35207,8860,83836,0.935665914
35208,14640,160164,0.911885246
35209,30740,1401725,0.925504229
35210,14640,443870,0.870901639
35211,25240,321884,0.917194929
35212,11840,173159,0.943412162
35213,17390,1779399,0.88786659
35214,20280,312923,0.892998028
35215,55420,680951,0.942619993
35216,42540,1536708,0.913963329
35217,13930,175230,0.931083991
35218,6710,63675,0.929955291
35221,4440,48994,0.903153153
35222,8160,415884,0.897058824
35223,15080,2070274,0.870026525
35224,5760,66815,0.927083333
35226,46830,1787410,0.896860987
35228,11140,125234,0.922800718
35233,1290,78684,0.953488372
35234,4640,47103,0.92887931
35235,22940,402570,0.912380122
35242,68010,3749843,0.888545802
35243,24010,1515130,0.875052062
35244,44140,1718822,0.903035795
35401,23040,356339,0.924913194
35404,19400,338594,0.921134021
35405,47470,928260,0.920792079
35406,19300,1011606,0.885492228
35441,1210,20224,0.900826446
35442,5210,66328,0.925143954
35443,2130,21904,0.938967136
35444,4590,82241,0.94335512
35446,2450,41646,0.92244898
35447,3400,51644,0.908823529
35452,4600,89717,0.913043478
35453,12760,239852,0.916144201
35456,5000,85257,0.92
35458,650,11555,0.907692308
35459,820,12316,0.890243902
35460,630,6317,0.936507937
35461,1710,32427,0.877192982
35462,5190,63059,0.907514451
35463,2090,41720,0.913875598
35464,550,4685,0.909090909
35466,6470,119702,0.916537867
35469,320,5037,0.875
35470,4710,81738,0.902335456
35473,18300,447488,0.898360656
35474,8230,148299,0.931956258
35475,20310,583872,0.912358444
35476,9200,150479,0.923913043
35480,1970,39584,0.923857868
35481,3450,53448,0.904347826
35490,5350,107652,0.945794393
35501,9970,163353,0.91775326
35503,8960,171923,0.907366071
35504,14250,342415,0.896842105
35540,2480,43573,0.923387097
35541,3500,85811,0.877142857
35542,1260,19880,0.920634921
35543,1070,15209,0.925233645
35544,610,9821,0.901639344
35546,4380,73232,0.922374429
35548,1510,21280,0.900662252
35549,3550,56305,0.904225352
35550,5150,88217,0.918446602
35552,980,27569,0.897959184
35553,4500,83468,0.9
35554,1190,20929,0.899159664
35555,10110,166249,0.901088032
35563,4250,72857,0.903529412
35564,2240,33424,0.919642857
35565,12900,213916,0.919379845
35570,10600,174684,0.909433962
35571,890,14482,0.921348315
35572,980,23590,0.846938776
35574,1460,27230,0.883561644
35575,1050,16286,0.923809524
35576,3260,58018,0.889570552
35578,5320,82002,0.922932331
35579,3120,53659,0.907051282
35580,3980,69727,0.909547739
35581,5300,78605,0.918867925
35582,4260,88251,0.906103286
35585,1690,27400,0.911242604
35586,4370,69321,0.90617849
35587,810,16054,0.888888889
35592,4750,77418,0.913684211
35593,1810,30084,0.900552486
35594,7890,150392,0.908745247
35601,36570,659712,0.911402789
35603,36630,977588,0.888069888
35610,1910,36822,0.90052356
35611,26650,514537,0.904690432
35613,26740,815009,0.899401645
35614,8330,144951,0.908763505
35616,3690,67057,0.883468835
35618,1910,29159,0.905759162
35619,5660,110141,0.915194346
35620,10360,200083,0.921814672
35621,3290,60715,0.90881459
35622,7620,126578,0.916010499
35630,28410,574613,0.88313974
35633,22350,477118,0.890380313
35634,11820,359335,0.868020305
35640,29690,656758,0.907713035
35643,3210,55880,0.903426791
35645,15300,391900,0.888888889
35646,4700,84806,0.89787234
35647,1280,23179,0.90625
35648,4080,80219,0.897058824
35650,14730,274852,0.906992532
35651,1140,19763,0.912280702
35652,8860,204063,0.883747178
35653,13740,200184,0.933770015
35654,8780,130806,0.928246014
35660,9200,152278,0.89673913
35661,20460,504595,0.893939394
35670,8390,175126,0.89511323
35671,2840,50040,0.922535211
35672,6400,122267,0.9078125
35673,9910,182574,0.918264379
35674,20810,432706,0.89572321
35677,1870,30781,0.903743316
35739,5930,116838,0.915682968
35740,3330,58690,0.891891892
35741,3840,169311,0.8515625
35744,2520,40313,0.912698413
35746,960,14961,0.916666667
35747,6680,148263,0.904191617
35748,9120,299654,0.899122807
35749,32400,857591,0.921604938
35750,16080,325147,0.912935323
35752,2000,39590,0.885
35754,6680,127889,0.910179641
35755,650,16978,0.8
35756,27470,823429,0.946123043
35757,20390,601809,0.90926925
35758,59370,2066909,0.91830891
35759,12070,316300,0.906379453
35760,5630,112390,0.90053286
35761,14590,357408,0.919122687
35763,27370,1029314,0.910485934
35764,580,9241,0.879310345
35765,4040,62747,0.915841584
35768,11940,223423,0.896147404
35769,10540,316625,0.870018975
35771,3770,63098,0.904509284
35772,4940,80085,0.910931174
35773,15200,319237,0.924342105
35775,1180,13624,0.93220339
35776,3820,64404,0.90052356
35801,23150,1320028,0.851403888
35802,25390,1099678,0.839306814
35803,33580,1108672,0.867182847
35805,20880,218090,0.942049808
35806,25820,919055,0.897366383
35808,1290,41463,0.937984496
35810,33480,472617,0.90442055
35811,31880,824683,0.893977415
35816,12710,174997,0.934697089
35824,10090,389956,0.914767096
35901,19390,460470,0.896338319
35903,18800,294669,0.907446809
35904,13990,213710,0.908506076
35905,7070,139707,0.892503536
35906,11510,244166,0.886185925
35907,10760,271035,0.894981413
35950,26630,360905,0.936913256
35951,15330,212481,0.941943901
35952,7960,120138,0.920854271
35953,8240,161133,0.906553398
35954,12430,183734,0.909895414
35956,9730,160743,0.916752312
35957,17890,271639,0.927892677
35958,3190,56174,0.912225705
35959,4920,87085,0.888211382
35960,10000,194749,0.884
35961,6650,83707,0.930827068
35962,8200,111156,0.937804878
35963,1780,23690,0.921348315
35966,3720,59017,0.924731183
35967,18250,301529,0.923287671
35968,5960,119074,0.895973154
35971,4930,80617,0.920892495
35972,1410,24071,0.907801418
35973,2740,43228,0.905109489
35974,2000,28786,0.92
35975,1040,17040,0.913461538
35976,17790,482190,0.873524452
35978,5500,107655,0.914545455
35979,1620,21533,0.925925926
35980,5560,74775,0.933453237
35981,2070,33631,0.922705314
35983,3780,67298,0.891534392
35984,1820,41365,0.824175824
35986,9140,158378,0.917943107
35987,2740,46941,0.901459854
35988,2010,28756,0.935323383
35989,3730,66391,0.922252011
36003,1930,36905,0.917098446
36005,1760,30455,0.897727273
36006,1630,27131,0.920245399
36009,2820,51791,0.904255319
36010,5280,77662,0.901515152
36013,550,19788,0.890909091
36016,3150,48378,0.892063492
36017,1460,16488,0.904109589
36020,1460,23249,0.917808219
36022,17010,383274,0.9218107
36024,6770,162794,0.8788774
36025,4390,80660,0.917995444
36026,1030,33700,0.825242718
36027,16090,273630,0.913610938
36028,1920,29257,0.901041667
36029,930,23172,0.860215054
36030,500,7627,0.9
36032,3120,36537,0.939102564
36033,3930,61036,0.903307888
36034,860,13383,0.88372093
36035,2160,36815,0.907407407
36036,1920,33656,0.875
36037,14870,244066,0.916610625
36039,290,3259,0.931034483
36040,4150,46353,0.93253012
36041,1570,24209,0.917197452
36042,1500,25344,0.9
36043,4120,92320,0.883495146
36046,1450,26062,0.903448276
36047,1560,22069,0.91025641
36048,1370,17566,0.883211679
36049,5880,103802,0.909863946
36051,2550,43926,0.921568627
36052,900,33396,0.855555556
36053,1960,25749,0.908163265
36054,17810,350285,0.920830994
36064,16090,546380,0.928527035
36066,24460,565843,0.915372036
36067,30690,626626,0.918214402
36069,1840,37806,0.869565217
36071,870,11711,0.908045977
36075,2170,34841,0.912442396
36078,14800,286821,0.906756757
36079,9730,191115,0.917780062
36080,2520,69625,0.865079365
36081,13870,307994,0.907714492
36083,7970,110726,0.882057716
36088,2300,28955,0.891304348
36089,8590,97979,0.925494761
36091,4220,69706,0.921800948
36092,22890,452801,0.903014417
36093,14320,408396,0.887569832
36104,6600,110398,0.934848485
36105,11680,144022,0.914383562
36106,15200,506436,0.875657895
36107,8160,89242,0.944852941
36108,19580,205968,0.915730337
36109,26810,553570,0.87541962
36110,12800,125403,0.9390625
36111,15300,407563,0.913071895
36113,1160,22683,1
36115,1030,13322,1
36116,49840,779788,0.935794543
36117,56570,1696025,0.898532791
36201,16890,199806,0.924807578
36203,22420,446148,0.907225691
36205,800,17521,0.85
36206,11520,187068,0.896701389
36207,20890,534270,0.879368119
36250,5430,113320,0.885819521
36251,5290,93749,0.901701323
36255,940,32446,0.904255319
36256,1560,27455,0.903846154
36258,1810,30751,0.889502762
36260,4410,71644,0.907029478
36262,1590,22893,0.924528302
36263,630,10926,0.904761905
36264,9510,176324,0.915878023
36265,18870,385187,0.897191309
36266,6120,101276,0.908496732
36268,6320,104112,0.917721519
36269,1330,20672,0.917293233
36271,6580,124607,0.899696049
36272,12980,207952,0.911402157
36273,2960,57421,0.912162162
36274,11940,169482,0.922948074
36276,2430,40228,0.905349794
36277,6130,109426,0.900489396
36278,5060,117615,0.867588933
36279,2760,49741,0.891304348
36280,4130,71106,0.91283293
