,State,PostalCode,Longitude,Latitude
0,MN,55792,-92.55,47.51
1,OR,97218,-122.59,45.59
4,CT,06611,-73.15,41.23
5,CA,92056,-117.3,33.18
6,CO,80124,-104.88,39.54
9,CA,94520,-122.06,37.97
10,NJ,07642,-74.04,41.0
11,CA,94549,-122.12,37.89
12,VA,23298,-77.43,37.54
13,WA,98597,-122.59,46.93
14,VA,23518,-76.22,36.9
18,CA,92128,-117.06,33.02
21,IN,46254,-86.26,39.85
22,CA,91506,-118.31,34.16
23,CA,91789,-117.84,34.03
24,FL,32821,-81.5,28.37
26,CO,80905,-104.82,38.81
28,NV,89052,-115.1,35.98
31,IN,46032,-86.23,39.94
32,NY,10075,-73.95,40.77
34,CA,94061,-122.22,37.47
35,CA,90660,-118.08,34.0
39,GA,30004,-84.36,34.08
41,FL,32162,-81.97,28.91
45,IL,60008,-88.0,42.05
46,CA,92673,-117.6,33.46
48,CA,95051,-122.0,37.35
49,CA,95120,-121.86,37.22
51,CA,93001,-119.29,34.28
54,TX,78746,-97.8,30.28
57,CA,91706,-117.99,34.06
58,CA,92225,-114.59,33.61
59,CA,95630,-121.11,38.65
61,CO,80528,-105.04,40.52
65,AZ,85282,-111.96,33.38
67,NV,89103,-115.2,36.12
71,VA,23452,-76.13,36.83
72,FL,32225,-81.5,30.36
73,OH,43219,-82.89,40.0
76,WA,98108,-122.32,47.55
77,OR,97035,-122.72,45.41
78,WA,98028,-122.25,47.76
79,FL,32669,-82.48,29.66
80,CA,90038,-118.34,34.09
81,IN,46902,-86.13,40.44
82,LA,70118,-90.13,29.94
85,NE,68144,-96.14,41.23
86,DC,20005,-77.03,38.9
89,CA,90064,-118.43,34.04
90,OR,97405,-123.09,44.01
91,MD,21771,-77.16,39.36
92,CA,90802,-118.19,33.77
95,NY,10038,-74.01,40.71
96,CA,91709,-117.71,33.98
100,CA,92264,-116.53,33.8
105,CA,91608,-118.36,34.14
106,NY,10543,-73.74,40.94
107,CO,80023,-104.98,40.0
108,CA,94080,-122.45,37.66
109,MD,21146,-76.58,39.08
110,CA,91739,-117.54,34.11
112,CA,92610,-117.67,33.69
115,IL,60607,-87.65,41.88
116,OR,97203,-122.74,45.59
117,CA,94546,-122.09,37.69
118,FL,33140,-80.13,25.81
119,NY,14424,-77.26,42.88
121,CA,90405,-118.45,34.02
124,ME,04005,-70.51,43.47
125,SD,57701,-103.18,44.1
128,CA,90401,-118.49,34.02
133,AL,35801,-86.59,34.77
134,CA,93726,-119.79,36.78
136,NY,10019,-73.99,40.76
138,OH,45840,-83.61,41.06
142,AR,72209,-92.41,34.66
143,CA,94538,-121.98,37.5
144,FL,33414,-80.25,26.67
145,MO,63701,-89.58,37.3
148,MN,55127,-93.06,45.05
152,MD,21014,-76.32,39.55
165,WA,98102,-122.33,47.64
166,CA,92307,-117.22,34.53
168,FL,33316,-80.14,26.1
169,NY,10013,-74.01,40.73
172,OK,73160,-97.5,35.32
176,WA,98101,-122.33,47.62
182,CA,92675,-117.66,33.5
183,FL,33414,-80.21,26.65
185,MI,48315,-83.01,42.67
186,CO,81505,-108.59,39.08
187,AZ,85344,-114.28,34.15
189,CO,80215,-105.1,39.74
190,KY,40503,-84.53,37.99
191,IL,60446,-88.12,41.61
192,MI,48824,-84.48,42.73
193,CA,90745,-118.27,33.81
194,WA,98801,-120.33,47.44
195,IN,47404,-86.57,39.17
196,AR,72756,-94.18,36.33
197,CT,06040,-72.57,41.77
198,CO,80487,-106.83,40.47
199,IN,46825,-85.14,41.18
200,SC,29651,-82.27,34.94
203,CA,91214,-118.25,34.23
204,CA,95138,-121.78,37.29
208,CA,95926,-121.84,39.74
210,GA,30326,-84.36,33.85
212,NV,89123,-115.15,36.04
213,MI,49307,-85.48,43.69
214,WA,98339,-122.76,48.03
216,IL,60025,-87.8,42.08
218,CA,94533,-122.05,38.26
219,NY,10025,-73.97,40.79
220,NY,11520,-73.59,40.66
224,NC,27613,-78.68,35.89
227,CA,90045,-118.4,33.96
228,CA,92345,-117.29,34.47
229,AL,35242,-86.71,33.43
230,GA,31520,-81.52,31.22
231,LA,70808,-91.14,30.42
232,NY,12205,-73.82,42.71
233,MN,55330,-93.56,45.32
234,UT,84102,-111.87,40.76
235,CO,80923,-104.72,38.91
237,CA,95407,-122.71,38.42
239,CO,80134,-104.77,39.52
240,CA,94539,-121.93,37.49
241,NH,03431,-72.29,42.93
244,KS,66215,-94.76,38.97
245,IA,50266,-93.75,41.6
247,CA,94403,-122.29,37.53
249,TX,75068,-96.89,33.17
250,AZ,86314,-112.34,34.59
253,AZ,85635,-110.26,31.56
256,OH,43017,-83.09,40.09
257,FL,33446,-80.17,26.45
259,OR,97202,-122.62,45.49
261,OR,97754,-120.83,44.3
262,CT,06851,-73.4,41.12
263,NC,27858,-77.37,35.61
264,GA,30909,-82.03,33.51
266,NH,03801,-70.79,43.09
267,CA,90045,-118.37,33.98
270,TX,75068,-96.88,33.18
272,AZ,86314,-112.34,34.59
274,NC,27612,-78.68,35.84
275,MD,20657,-76.44,38.37
277,NC,27540,-78.8,35.66
279,IL,60077,-87.75,42.04
280,PA,19104,-75.21,39.95
287,CA,93313,-119.05,35.3
293,CA,93060,-119.07,34.35
294,PA,15213,-79.96,40.44
295,CA,90027,-118.29,34.1
297,NH,03103,-71.43,42.96
298,CA,90069,-118.39,34.08
299,GA,30033,-84.27,33.79
301,MN,55105,-93.14,44.94
303,NY,12572,-73.9,41.95
305,IL,60661,-87.64,41.88
306,FL,32601,-82.32,29.65
308,CA,96001,-122.42,40.57
310,AR,72015,-92.53,34.61
312,HI,96815,-157.83,21.28
313,CO,80301,-105.25,40.03
315,GA,30022,-84.27,33.99
316,FL,33629,-82.5,27.92
318,NV,89109,-115.17,36.13
320,NJ,08865,-75.15,40.68
322,MI,48044,-82.98,42.63
323,WA,98122,-122.29,47.6
327,NY,11209,-74.03,40.63
328,PA,15217,-79.92,40.44
329,VA,23669,-76.33,37.06
330,CA,95825,-121.39,38.6
331,CA,90503,-118.37,33.86
333,TX,77040,-95.5,29.85
335,MN,55403,-93.27,44.97
336,MA,02467,-71.15,42.3
338,FL,32114,-81.06,29.2
339,RI,02917,-71.53,41.87
340,MN,55331,-93.57,44.9
342,UT,84108,-111.83,40.76
343,TX,76051,-97.09,32.93
344,WA,98271,-122.19,48.15
345,CT,06484,-73.11,41.29
346,NY,11566,-73.55,40.66
351,NY,12211,-73.78,42.71
352,OH,43016,-83.13,40.07
353,IN,46360,-86.89,41.68
356,OR,97058,-121.19,45.6
359,CA,90025,-118.45,34.05
362,NM,87120,-106.69,35.18
363,IL,60447,-88.27,41.42
366,GA,30093,-84.17,33.92
368,NV,89129,-115.28,36.22
370,AZ,85249,-111.8,33.22
371,IN,46601,-86.25,41.68
372,TX,75206,-96.78,32.84
373,NV,89158,-115.18,36.11
374,OR,97814,-117.82,44.78
375,WA,98312,-122.65,47.57
376,TN,37129,-86.39,35.87
379,NC,28805,-82.52,35.58
385,MO,63145,-90.36,38.74
386,WA,99202,-117.41,47.65
387,NY,10001,-73.99,40.75
388,MI,48084,-83.18,42.56
390,OR,97219,-122.69,45.47
395,CA,93036,-119.18,34.23
397,VA,22202,-77.06,38.87
398,GA,30605,-83.34,33.92
400,AZ,85016,-112.03,33.51
403,MN,55305,-93.45,44.97
407,LA,70836,-91.09,30.39
408,AL,35632,-87.68,34.8
409,PA,15061,-80.3,40.68
410,NY,11949,-72.8,40.87
413,GA,30106,-84.58,33.86
414,AZ,85210,-111.84,33.38
415,PA,19428,-75.29,40.09
425,ID,83704,-116.28,43.61
430,HI,96720,-155.07,19.7
431,CA,91711,-117.72,34.08
432,AR,72032,-92.42,35.09
435,FL,32309,-84.25,30.5
436,WA,98375,-122.35,47.1
439,CA,94588,-121.91,37.7
443,MI,48009,-83.21,42.55
444,CA,91702,-117.89,34.13
445,CO,80015,-104.76,39.61
447,PA,17543,-76.3,40.13
448,WA,98273,-122.34,48.44
451,CA,93901,-121.65,36.66
452,NY,11210,-73.95,40.63
453,IL,60611,-87.63,41.9
454,NJ,07652,-74.08,40.92
455,NY,10028,-73.95,40.78
461,NY,12866,-73.79,43.07
462,NJ,07652,-74.07,40.96
463,MA,01040,-72.64,42.17
465,NY,12401,-73.99,41.96
466,MN,55106,-93.03,44.95
467,IL,62025,-90.0,38.79
468,WA,98403,-122.46,47.26
469,RI,02917,-71.52,41.87
470,FL,33301,-80.14,26.12
471,AZ,85757,-111.09,32.13
474,CA,95825,-121.39,38.59
478,CA,94103,-122.41,37.78
480,IL,62959,-88.98,37.75
482,CA,94928,-122.71,38.35
483,CA,95403,-122.74,38.48
485,CA,92009,-117.27,33.09
487,AK,99504,-149.78,61.21
490,CA,90024,-118.45,34.06
493,FL,32413,-85.88,30.22
495,CA,90501,-118.3,33.86
498,OR,97124,-122.87,45.54
499,VA,22314,-77.06,38.8
500,IL,60060,-88.02,42.26
503,OR,97520,-122.67,42.19
504,TX,78704,-97.75,30.26
506,CA,92683,-118.01,33.75
507,KY,40241,-85.56,38.3
509,UT,84093,-111.84,40.58
510,CA,93722,-119.87,36.79
511,CA,90804,-118.14,33.78
512,CA,95448,-122.87,38.61
513,CA,90069,-118.39,34.08
515,CA,93309,-119.07,35.33
519,TX,77077,-95.6,29.74
520,TN,37916,-83.94,35.95
522,WA,98101,-122.34,47.61
523,TX,77396,-95.22,29.98
