zipcode_label,median_income
ZCTA5 00601,11757
ZCTA5 00602,16190
ZCTA5 00603,16645
ZCTA5 00606,13387
ZCTA5 00610,18741
ZCTA5 00612,17744
ZCTA5 00616,14918
ZCTA5 00617,17157
ZCTA5 00622,16727
ZCTA5 00623,16401
ZCTA5 00624,16832
ZCTA5 00627,17579
ZCTA5 00631,9632
ZCTA5 00637,15736
ZCTA5 00638,14448
ZCTA5 00641,16292
ZCTA5 00646,29160
ZCTA5 00647,13071
ZCTA5 00650,16095
ZCTA5 00652,20564
ZCTA5 00653,12236
ZCTA5 00656,14966
ZCTA5 00659,17770
ZCTA5 00660,19674
ZCTA5 00662,16771
ZCTA5 00664,15401
ZCTA5 00667,13843
ZCTA5 00669,12996
ZCTA5 00670,14456
ZCTA5 00674,18032
ZCTA5 00676,13416
ZCTA5 00677,18333
ZCTA5 00678,15730
ZCTA5 00680,14500
ZCTA5 00682,15315
ZCTA5 00683,15043
ZCTA5 00685,14128
ZCTA5 00687,18739
ZCTA5 00688,15918
ZCTA5 00690,18491
ZCTA5 00692,18076
ZCTA5 00693,18971
ZCTA5 00694,14375
ZCTA5 00698,14487
ZCTA5 00703,16532
ZCTA5 00704,13960
ZCTA5 00705,18207
ZCTA5 00707,17489
ZCTA5 00714,15820
ZCTA5 00715,12440
ZCTA5 00716,18514
ZCTA5 00717,11269
ZCTA5 00718,18998
ZCTA5 00719,18401
ZCTA5 00720,14533
ZCTA5 00723,14554
ZCTA5 00725,20374
ZCTA5 00727,30797
ZCTA5 00728,18097
ZCTA5 00729,20508
ZCTA5 00730,15367
ZCTA5 00731,16389
ZCTA5 00735,18947
ZCTA5 00736,20166
ZCTA5 00738,19284
ZCTA5 00739,20619
ZCTA5 00740,12934
ZCTA5 00741,22766
ZCTA5 00745,22909
ZCTA5 00751,16188
ZCTA5 00754,18594
ZCTA5 00757,16816
ZCTA5 00765,16149
ZCTA5 00766,19595
ZCTA5 00767,15573
ZCTA5 00769,19215
ZCTA5 00771,20332
ZCTA5 00772,15032
ZCTA5 00773,19377
ZCTA5 00775,23092
ZCTA5 00777,18684
ZCTA5 00778,32708
ZCTA5 00780,21834
ZCTA5 00782,13073
ZCTA5 00783,14476
ZCTA5 00784,15653
ZCTA5 00786,-
ZCTA5 00791,18595
ZCTA5 00794,15667
ZCTA5 00795,20430
ZCTA5 00901,16929
ZCTA5 00906,101346
ZCTA5 00907,32601
ZCTA5 00909,17959
ZCTA5 00911,30978
ZCTA5 00912,21744
ZCTA5 00913,5902
ZCTA5 00915,14048
ZCTA5 00917,15508
ZCTA5 00918,23333
ZCTA5 00920,25433
ZCTA5 00921,18690
ZCTA5 00923,14041
ZCTA5 00924,19303
ZCTA5 00925,9903
ZCTA5 00926,33624
ZCTA5 00927,32932
ZCTA5 00934,-
ZCTA5 00936,-
ZCTA5 00949,26032
ZCTA5 00950,-
ZCTA5 00951,-
ZCTA5 00952,15434
ZCTA5 00953,29837
ZCTA5 00956,23322
ZCTA5 00957,24438
ZCTA5 00959,29737
ZCTA5 00960,-
ZCTA5 00961,28455
ZCTA5 00962,16135
ZCTA5 00965,15369
ZCTA5 00966,51318
ZCTA5 00968,45811
ZCTA5 00969,51604
ZCTA5 00971,20604
ZCTA5 00976,30801
ZCTA5 00979,34284
ZCTA5 00982,25935
ZCTA5 00983,27149
ZCTA5 00985,24834
ZCTA5 00987,32967
ZCTA5 01001,57694
ZCTA5 01002,52379
ZCTA5 01003,-
ZCTA5 01005,70325
ZCTA5 01007,86165
ZCTA5 01008,62750
ZCTA5 01009,59440
ZCTA5 01010,86523
ZCTA5 01011,75263
ZCTA5 01012,70114
ZCTA5 01013,39868
ZCTA5 01020,58780
ZCTA5 01022,43349
ZCTA5 01026,51442
ZCTA5 01027,63699
ZCTA5 01028,85221
ZCTA5 01029,50750
ZCTA5 01030,71716
ZCTA5 01031,41875
ZCTA5 01032,78011
ZCTA5 01033,89965
ZCTA5 01034,87045
ZCTA5 01035,58953
ZCTA5 01036,81304
ZCTA5 01037,92750
ZCTA5 01038,67096
ZCTA5 01039,80000
ZCTA5 01040,37954
ZCTA5 01050,68869
ZCTA5 01053,62222
ZCTA5 01054,87174
ZCTA5 01056,67715
ZCTA5 01057,78986
ZCTA5 01060,57485
ZCTA5 01062,73438
ZCTA5 01063,-
ZCTA5 01066,-
ZCTA5 01068,85938
ZCTA5 01069,59211
ZCTA5 01070,57000
ZCTA5 01071,67132
ZCTA5 01072,72000
ZCTA5 01073,89423
ZCTA5 01074,61603
ZCTA5 01075,66681
ZCTA5 01077,76737
ZCTA5 01079,27105
ZCTA5 01080,49844
ZCTA5 01081,50465
ZCTA5 01082,51768
ZCTA5 01083,65547
ZCTA5 01084,90625
ZCTA5 01085,62423
ZCTA5 01086,-
ZCTA5 01088,51406
ZCTA5 01089,51735
ZCTA5 01092,75799
ZCTA5 01093,103750
ZCTA5 01094,21250
ZCTA5 01095,104128
ZCTA5 01096,77083
ZCTA5 01097,-
ZCTA5 01098,76563
ZCTA5 01103,16720
ZCTA5 01104,30053
ZCTA5 01105,17569
ZCTA5 01106,111231
ZCTA5 01107,26772
ZCTA5 01108,38499
ZCTA5 01109,35191
ZCTA5 01118,61112
ZCTA5 01119,47439
ZCTA5 01128,65977
ZCTA5 01129,63895
ZCTA5 01151,40360
ZCTA5 01199,-
ZCTA5 01201,47614
ZCTA5 01220,49777
ZCTA5 01222,74583
ZCTA5 01223,77857
ZCTA5 01224,38446
ZCTA5 01225,61512
ZCTA5 01226,61063
ZCTA5 01229,29000
ZCTA5 01230,65214
ZCTA5 01235,63000
ZCTA5 01236,57014
ZCTA5 01237,84615
ZCTA5 01238,67708
ZCTA5 01240,68948
ZCTA5 01242,81172
ZCTA5 01243,71979
ZCTA5 01244,55556
ZCTA5 01245,69821
ZCTA5 01247,40928
ZCTA5 01253,74554
ZCTA5 01254,92083
ZCTA5 01255,68636
ZCTA5 01256,55375
ZCTA5 01257,59500
ZCTA5 01258,57917
ZCTA5 01259,62727
ZCTA5 01260,112756
ZCTA5 01262,36042
ZCTA5 01264,80000
ZCTA5 01266,74107
ZCTA5 01267,78068
ZCTA5 01270,80000
ZCTA5 01301,48477
ZCTA5 01330,74167
ZCTA5 01331,53733
ZCTA5 01337,66085
ZCTA5 01338,57750
ZCTA5 01339,55313
ZCTA5 01340,53125
ZCTA5 01341,101023
ZCTA5 01342,106146
ZCTA5 01343,85781
ZCTA5 01344,70109
ZCTA5 01346,60208
ZCTA5 01347,52647
ZCTA5 01349,61630
ZCTA5 01350,31458
ZCTA5 01351,82548
ZCTA5 01354,69226
ZCTA5 01355,70313
ZCTA5 01360,69028
ZCTA5 01364,43413
ZCTA5 01366,65529
ZCTA5 01367,55469
ZCTA5 01368,72813
ZCTA5 01370,54036
ZCTA5 01373,74022
ZCTA5 01375,54886
ZCTA5 01376,43750
ZCTA5 01378,57885
ZCTA5 01379,43500
ZCTA5 01420,51412
ZCTA5 01430,85064
ZCTA5 01431,95833
ZCTA5 01432,79750
ZCTA5 01434,50547
ZCTA5 01436,60156
ZCTA5 01438,74142
ZCTA5 01440,48915
ZCTA5 01450,123918
ZCTA5 01451,143625
ZCTA5 01452,93387
ZCTA5 01453,57610
ZCTA5 01460,119177
ZCTA5 01462,97775
ZCTA5 01463,90029
ZCTA5 01464,67541
ZCTA5 01467,98036
ZCTA5 01468,64872
ZCTA5 01469,84489
ZCTA5 01473,100071
ZCTA5 01474,84851
ZCTA5 01475,64539
ZCTA5 01501,74576
ZCTA5 01503,97417
ZCTA5 01504,80260
ZCTA5 01505,97074
ZCTA5 01506,64219
ZCTA5 01507,93921
ZCTA5 01510,68362
ZCTA5 01515,80234
ZCTA5 01516,94531
ZCTA5 01518,58438
ZCTA5 01519,106250
ZCTA5 01520,99674
ZCTA5 01521,78348
ZCTA5 01522,104508
ZCTA5 01523,104630
ZCTA5 01524,64135
ZCTA5 01525,-
ZCTA5 01527,74713
ZCTA5 01529,90500
ZCTA5 01531,84432
ZCTA5 01532,111875
ZCTA5 01534,89348
ZCTA5 01535,73133
ZCTA5 01536,105283
ZCTA5 01537,74883
ZCTA5 01540,68865
ZCTA5 01541,128006
ZCTA5 01542,100000
ZCTA5 01543,100962
ZCTA5 01545,101229
ZCTA5 01550,50202
ZCTA5 01560,85390
ZCTA5 01561,-
ZCTA5 01562,65386
ZCTA5 01564,102500
ZCTA5 01566,95800
ZCTA5 01568,119115
ZCTA5 01569,94809
ZCTA5 01570,52107
ZCTA5 01571,64281
ZCTA5 01581,107604
ZCTA5 01583,73463
ZCTA5 01585,66317
ZCTA5 01588,66607
ZCTA5 01590,101315
ZCTA5 01602,64808
ZCTA5 01603,42259
ZCTA5 01604,50487
ZCTA5 01605,37703
